timestamp_local,781C3CA635F4_wind_speed_value
2026-01-30T00:00:33,0
2026-01-30T00:10:31,0
2026-01-30T00:20:27,0
2026-01-30T00:30:24,0
2026-01-30T00:40:21,0
2026-01-30T00:50:18,0
2026-01-30T01:00:15,1.18
2026-01-30T01:10:13,0
2026-01-30T01:20:10,0
2026-01-30T01:30:07,3.3
2026-01-30T01:40:03,2.25
2026-01-30T01:50:03,0
2026-01-30T01:59:57,0
2026-01-30T02:09:54,1.61
2026-01-30T02:19:51,2.55
2026-01-30T02:29:48,1.36
2026-01-30T02:39:45,1.78
2026-01-30T02:49:41,0.8
2026-01-30T02:59:39,2.3
2026-01-30T03:09:36,1.04
2026-01-30T03:19:33,0
2026-01-30T03:29:30,2.11
2026-01-30T03:39:27,0
2026-01-30T03:49:24,0
2026-01-30T03:59:20,1.43
2026-01-30T04:09:17,2.23
2026-01-30T04:19:15,0
2026-01-30T04:29:12,1.73
2026-01-30T04:39:09,0.77
2026-01-30T04:49:05,1.35
2026-01-30T04:59:02,0
2026-01-30T05:08:59,0
2026-01-30T05:18:56,2.26
2026-01-30T05:28:53,0
2026-01-30T05:38:50,1.9
2026-01-30T05:48:47,1.39
2026-01-30T05:58:44,0
2026-01-30T06:08:41,0
2026-01-30T06:18:38,0
2026-01-30T06:28:35,1.35
2026-01-30T06:38:31,0
2026-01-30T06:48:29,0
2026-01-30T06:58:26,1.29
2026-01-30T07:08:23,2.25
2026-01-30T07:18:20,0
2026-01-30T07:28:17,3.02
2026-01-30T07:38:15,0
2026-01-30T07:48:12,1.41
2026-01-30T07:58:10,0.74
2026-01-30T08:08:07,2.65
2026-01-30T08:18:05,0
2026-01-30T08:28:03,2.31
2026-01-30T08:38:00,3.49
2026-01-30T08:47:58,1.76
2026-01-30T08:57:55,0.94
2026-01-30T09:07:53,0
2026-01-30T09:17:50,2.13
2026-01-30T09:27:48,2.21
2026-01-30T09:37:45,1.49
2026-01-30T09:47:43,0
2026-01-30T09:57:42,2.08
2026-01-30T10:07:41,2.35
2026-01-30T10:17:37,4.65
2026-01-30T10:27:36,2.57
2026-01-30T10:37:32,0.58
2026-01-30T10:47:30,1.8
2026-01-30T10:57:28,2.72
2026-01-30T11:07:25,0.99
2026-01-30T11:17:23,3.93
2026-01-30T11:27:21,2.25
2026-01-30T11:37:17,1.42
2026-01-30T11:47:16,6.08
2026-01-30T11:57:13,3.45
2026-01-30T12:07:10,0.66
2026-01-30T12:17:08,1.51
2026-01-30T12:27:06,5.05
2026-01-30T12:37:04,6.08
2026-01-30T12:47:02,4.04
2026-01-30T12:57:00,7.47
2026-01-30T13:06:57,5.03
2026-01-30T13:16:54,1.7
2026-01-30T13:26:51,1.22
2026-01-30T13:36:49,5.92
2026-01-30T13:46:46,2.79
2026-01-30T13:56:43,1.89
2026-01-30T14:06:40,3.7
2026-01-30T14:16:31,2.43
2026-01-30T14:26:23,2.41
2026-01-30T14:36:19,1.05
2026-01-30T14:46:15,3.38
2026-01-30T14:56:12,1.28
2026-01-30T15:06:08,1.6
2026-01-30T15:16:05,1.66
2026-01-30T15:26:02,4.49
2026-01-30T15:35:59,0.12
2026-01-30T15:45:56,0.87
2026-01-30T15:55:52,0
2026-01-30T16:05:49,2.54
2026-01-30T16:15:46,1.7
2026-01-30T16:25:43,3.06
2026-01-30T16:35:40,2.27
2026-01-30T16:45:37,2.58
2026-01-30T16:55:33,0
2026-01-30T17:05:31,1.16
2026-01-30T17:15:27,4.01
2026-01-30T17:25:24,1.1
2026-01-30T17:35:20,2.32
